POST   /v1/customer/customer-organizations/options/batch  |  Get customer organization options by IDs  |  [customer] Customer Options
POST   /v1/staff/leave-types/page  |  Page query leave types  |  [staff] Leave Type Management
DELETE /v1/staff/leave-types/{id}  |  Delete leave type  |  [staff] Leave Type Management
GET    /v1/staff/leave-types/{id}  |  Get leave type  |  [staff] Leave Type Management
PUT    /v1/staff/leave-types/{id}  |  Update leave type  |  [staff] Leave Type Management
POST   /v1/staff/notification/channels  |  Create notification channel  |  [staff] Notification Channel Management
POST   /v1/staff/notification/channels/options/batch  |  Get notification channel options  |  [staff] Notification Channel Management
POST   /v1/staff/notification/channels/page  |  Page query notification channels  |  [staff] Notification Channel Management
DELETE /v1/staff/notification/channels/{id}  |  Delete notification channel  |  [staff] Notification Channel Management
GET    /v1/staff/notification/channels/{id}  |  Get notification channel by ID  |  [staff] Notification Channel Management
PUT    /v1/staff/notification/channels/{id}  |  Update notification channel  |  [staff] Notification Channel Management
POST   /v1/staff/notification/instances/page  |  Page query notification instances  |  [staff] Notification Instance Management
POST   /v1/staff/notification/instances/personal/page  |  Page query notification instances  |  [staff] Notification Instance Management
POST   /v1/staff/notification/instances/read/batch  |  Mark multiple as read  |  [staff] Notification Instance Management
POST   /v1/staff/notification/instances/system/publish  |  Publish system notification  |  [staff] Notification Instance Management
GET    /v1/staff/notification/instances/unread-counts  |  Get unread notification counts  |  [staff] Notification Instance Management
DELETE /v1/staff/notification/instances/{id}  |  delete notification  |  [staff] Notification Instance Management
GET    /v1/staff/notification/instances/{id}  |  Get notification instance by ID  |  [staff] Notification Instance Management
PUT    /v1/staff/notification/instances/{id}  |  update notification  |  [staff] Notification Instance Management
POST   /v1/staff/notification/instances/{id}/read  |  Mark as read  |  [staff] Notification Instance Management
POST   /v1/staff/notification/settings  |  Create notification setting  |  [staff] Notification Setting Management
POST   /v1/staff/notification/settings/options/batch  |  Get notification setting options  |  [staff] Notification Setting Management
POST   /v1/staff/notification/settings/page  |  Page query notification settings  |  [staff] Notification Setting Management
DELETE /v1/staff/notification/settings/{id}  |  Delete notification setting  |  [staff] Notification Setting Management
GET    /v1/staff/notification/settings/{id}  |  Get notification setting by ID  |  [staff] Notification Setting Management
PUT    /v1/staff/notification/settings/{id}  |  Update notification setting  |  [staff] Notification Setting Management
POST   /v1/staff/notification/template-groups  |  Create notification template group  |  [staff] Notification Template Group Management
POST   /v1/staff/notification/template-groups/batch  |  Get notification template groups by IDs  |  [staff] Notification Template Group Management
POST   /v1/staff/notification/template-groups/page  |  Page query notification template groups  |  [staff] Notification Template Group Management
GET    /v1/staff/notification/template-groups/{id}  |  Get notification template group by ID  |  [staff] Notification Template Group Management
PUT    /v1/staff/notification/template-groups/{id}  |  Update notification template group  |  [staff] Notification Template Group Management
POST   /v1/staff/notification/templates  |  Create notification template  |  [staff] Notification Template Management
GET    /v1/staff/notification/templates/{id}  |  Get notification template by ID  |  [staff] Notification Template Management
PUT    /v1/staff/notification/templates/{id}  |  Update notification template  |  [staff] Notification Template Management
GET    /v1/staff/overtime/balance  |  查询加班余额  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/batch-delete  |  批量删除加班申请  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/export  |  导出加班申请  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/list  |  列表查询加班申请  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/page  |  分页查询加班申请  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/pending-approval/page  |  查询待审批的加班申请  |  [staff] Overtime Request Management
GET    /v1/staff/overtime/requests/statistics  |  查询加班统计  |  [staff] Overtime Request Management
GET    /v1/staff/overtime/requests/{id}  |  查询加班申请详情  |  [staff] Overtime Request Management
POST   /v1/staff/overtime/requests/{id}/cancel  |  取消加班申请  |  [staff] Overtime Request Management
POST   /v1/staff/permissions  |  Create permission  |  [staff] Permission Management
GET    /v1/staff/permissions/tree  |  Get permission tree  |  [staff] Permission Management
PUT    /v1/staff/permissions/{id}  |  Update permission  |  [staff] Permission Management
GET    /v1/staff/push-settings  |  Get push setting  |  [staff] Push Setting
PUT    /v1/staff/push-settings  |  Update push setting  |  [staff] Push Setting
POST   /v1/staff/push-tokens/register  |  Register push token  |  [staff] Push Token
POST   /v1/staff/push-tokens/unregister  |  Unregister push token  |  [staff] Push Token
POST   /v1/staff/roles  |  Create role  |  [staff] Role Management
POST   /v1/staff/roles/options/batch  |  Get role options by IDs  |  [staff] Role Management
POST   /v1/staff/roles/page  |  Page query roles  |  [staff] Role Management
GET    /v1/staff/roles/{id}  |  Get role by ID  |  [staff] Role Management
PUT    /v1/staff/roles/{id}  |  Update role  |  [staff] Role Management
POST   /v1/staff/slas  |  Create SLA  |  [staff] SLA Management
POST   /v1/staff/slas/options/batch  |  Get options by ids  |  [staff] SLA Management
POST   /v1/staff/slas/page  |  Page query SLAs  |  [staff] SLA Management
GET    /v1/staff/slas/{id}  |  Get SLA  |  [staff] SLA Management
PUT    /v1/staff/slas/{id}  |  Update SLA  |  [staff] SLA Management
GET    /v1/staff/schedules/{scheduleId}/entries  |  Get schedule entries  |  [staff] Schedule Entry Management
POST   /v1/staff/schedules/{scheduleId}/entries  |  Create schedule entry  |  [staff] Schedule Entry Management
DELETE /v1/staff/schedules/{scheduleId}/entries/{id}  |  Delete schedule entry  |  [staff] Schedule Entry Management
PUT    /v1/staff/schedules/{scheduleId}/entries/{id}  |  Update schedule entry  |  [staff] Schedule Entry Management
POST   /v1/staff/schedules  |  Create schedule  |  [staff] Schedule Management
POST   /v1/staff/schedules/apply  |  Apply schedule  |  [staff] Schedule Management
POST   /v1/staff/schedules/apply/preview  |  Preview schedule apply  |  [staff] Schedule Management
POST   /v1/staff/schedules/options/batch  |  Get options by ids  |  [staff] Schedule Management
POST   /v1/staff/schedules/page  |  Page query schedules  |  [staff] Schedule Management
GET    /v1/staff/schedules/type/{type}  |  Get schedules by type  |  [staff] Schedule Management
GET    /v1/staff/schedules/{id}  |  Get schedule  |  [staff] Schedule Management
PUT    /v1/staff/schedules/{id}  |  Update schedule  |  [staff] Schedule Management
POST   /v1/staff/shift-auto-publish/manual  |  Manual Auto Publish Shifts  |  [staff] Shift Auto Publish Management
DELETE /v1/staff/shift-bidding  |  Delete unbid shifts  |  [staff] Shift Bidding
GET    /v1/staff/shift-bidding  |  Query shift bidding calendar  |  [staff] Shift Bidding
POST   /v1/staff/shift-bidding/bid  |  Bid for a shift by time slot  |  [staff] Shift Bidding
POST   /v1/staff/shift-instances  |  Create Shift Instance  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/batch-delete  |  Batch Delete by Conditions  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/batch-delete-selected  |  Batch Delete Selected  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/batch-publish  |  Batch Publish by Conditions  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/batch-revert-to-draft  |  Batch Revert to Draft by Conditions (Admin Only)  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/page  |  Page Query Shift Instances  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/publish  |  Publish Shifts  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/unpublish  |  Unpublish Shifts  |  [staff] Shift Instance Management
POST   /v1/staff/shift-instances/update-for-leave  |  Update Shift Instances for Leave  |  [staff] Shift Instance Management
DELETE /v1/staff/shift-instances/{id}  |  Delete Shift Instance  |  [staff] Shift Instance Management
GET    /v1/staff/shift-instances/{id}  |  Get Shift Instance  |  [staff] Shift Instance Management
PUT    /v1/staff/shift-instances/{id}  |  Update Shift Instance  |  [staff] Shift Instance Management
POST   /v1/staff/attendance-confirmations/clock-out  |  Clock Out并填写午餐和休息时间  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/confirm  |  确认考勤 (Agree操作)  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/dispute  |  提交考勤异议 (Reject操作)  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/disputes/export  |  导出考勤异议记录  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/disputes/page  |  分页查询所有考勤异议（后台管理）  |  [staff] Staff Attendance Confirmations
GET    /v1/staff/attendance-confirmations/disputes/pending  |  查询待审批的考勤异议 (Team Leader)  |  [staff] Staff Attendance Confirmations
GET    /v1/staff/attendance-confirmations/disputes/{id}  |  获取考勤异议详情  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/disputes/{id}/approve  |  批准考勤异议 (Team Leader)  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/disputes/{id}/reject  |  拒绝考勤异议 (Team Leader)  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-confirmations/disputes/{id}/revise  |  员工修改考勤异议（退回修改后重新提交或撤回）  |  [staff] Staff Attendance Confirmations
GET    /v1/staff/attendance-confirmations/history  |  查询考勤确认历史  |  [staff] Staff Attendance Confirmations
GET    /v1/staff/attendance-confirmations/history/all  |  获取所有考勤确认历史  |  [staff] Staff Attendance Confirmations
GET    /v1/staff/attendance-confirmations/pending  |  获取待确认的每日考勤摘要  |  [staff] Staff Attendance Confirmations
POST   /v1/staff/attendance-records/batch-push-to-hrm  |  Batch Push Attendance Records to HRM  |  [staff] Staff Attendance Records
POST   /v1/staff/attendance-records/export  |  导出考勤报表  |  [staff] Staff Attendance Records
POST   /v1/staff/attendance-records/list  |  List Query Attendance Records  |  [staff] Staff Attendance Records
POST   /v1/staff/attendance-records/page  |  Page Query Attendance Records  |  [staff] Staff Attendance Records
POST   /v1/staff/attendance-records/push-to-hrm/{id}  |  Push Attendance Record to HRM  |  [staff] Staff Attendance Records
PUT    /v1/staff/attendance-records/{id}  |  Update Attendance Record (Admin Only)  |  [staff] Staff Attendance Records
POST   /v1/staff/attendance-summary  |  Create Attendance Summary  |  [staff] Staff Attendance Summary
POST   /v1/staff/attendance-summary/generate  |  Generate Attendance Summaries  |  [staff] Staff Attendance Summary
GET    /v1/staff/attendance-summary/id/{id}  |  Get Attendance Summary by ID  |  [staff] Staff Attendance Summary
POST   /v1/staff/attendance-summary/page  |  Page Query Attendance Summaries  |  [staff] Staff Attendance Summary
GET    /v1/staff/attendance-summary/range/{staffId}  |  Get Summaries by Date Range  |  [staff] Staff Attendance Summary
GET    /v1/staff/attendance-summary/statistics/{staffId}  |  Get Summary Statistics  |  [staff] Staff Attendance Summary
GET    /v1/staff/attendance-summary/working-hours/{staffId}  |  获取工作时长统计  |  [staff] Staff Attendance Summary
DELETE /v1/staff/attendance-summary/{id}  |  Delete Attendance Summary  |  [staff] Staff Attendance Summary
PUT    /v1/staff/attendance-summary/{id}  |  Update Attendance Summary  |  [staff] Staff Attendance Summary
GET    /v1/staff/auth/current  |  Get current staff  |  [staff] Staff Authentication
GET    /v1/staff/auth/dummy-email  |  Generate dummy email address  |  [staff] Staff Authentication
PUT    /v1/staff/auth/language  |  Update language  |  [staff] Staff Authentication
POST   /v1/staff/auth/login  |  Staff login  |  [staff] Staff Authentication
POST   /v1/staff/auth/login/iam  |  Staff IAM login  |  [staff] Staff Authentication
POST   /v1/staff/auth/logout  |  Staff logout  |  [staff] Staff Authentication
PUT    /v1/staff/auth/password  |  Update password  |  [staff] Staff Authentication
GET    /v1/staff/auth/signature  |  Get signature  |  [staff] Staff Authentication
PUT    /v1/staff/auth/signature  |  Update signature  |  [staff] Staff Authentication
POST   /v1/staff/auth/switch-tenant  |  Switch tenant  |  [staff] Staff Authentication
GET    /v1/staff/auth/tenant  |  Get current tenant  |  [staff] Staff Authentication
GET    /v1/staff/auth/tenants  |  Get valid tenant list  |  [staff] Staff Authentication
PUT    /v1/staff/auth/timezone  |  Update timezone  |  [staff] Staff Authentication
GET    /v1/staff/auth/validate  |  Validate session token  |  [staff] Staff Authentication
PUT    /v1/staff/auth/work-status  |  Update staff work status  |  [staff] Staff Authentication
POST   /v1/staff/dashboard/staff/department-count  |  Get staff counts by department  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/activity-stats  |  Get ticket activity statistics by department  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/average-resolution-time  |  Get average resolution time statistics by department  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/count-stats  |  Get comprehensive ticket count statistics  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/department-count  |  Get ticket counts by department  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/sla-achieved  |  Get SLA achievement statistics by department  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/topic-count  |  Get ticket counts by topic  |  [staff] Staff Dashboard
POST   /v1/staff/dashboard/ticket/trend  |  Get ticket count trend over time  |  [staff] Staff Dashboard
DELETE /v1/staff/staff-face/delete/{staffId}  |  Delete Face  |  [staff] Staff Face Management
POST   /v1/staff/staff-face/page  |  Page Face  |  [staff] Staff Face Management
POST   /v1/staff/staff-face/register/{staffId}  |  Register Face  |  [staff] Staff Face Management
PUT    /v1/staff/staff-face/update/{staffId}  |  Update Face  |  [staff] Staff Face Management
POST   /v1/staff/staff-face/verify/{staffId}  |  Verify Face  |  [staff] Staff Face Management
GET    /v1/staff/staff-face/{staffId}  |  Get Staff Face  |  [staff] Staff Face Management
POST   /v1/staff/hrm/attendance/query  |  Query HRM Attendance Records  |  [staff] Staff HRM Attendance
GET    /v1/staff/hierarchy/tree  |  Get staff hierarchy tree  |  [staff] Staff Hierarchy
POST   /v1/staff/hierarchy/validate-manager  |  Validate manager assignment  |  [staff] Staff Hierarchy
GET    /v1/staff/hierarchy/{staffId}/subordinates  |  Get direct subordinates  |  [staff] Staff Hierarchy
POST   /v1/staff/staff  |  Create staff  |  [staff] Staff Management
POST   /v1/staff/staff/hr-page  |  Page query staff for HR  |  [staff] Staff Management
GET    /v1/staff/staff/iam-user/check  |  Check IAM user by email  |  [staff] Staff Management
POST   /v1/staff/staff/import  |  Import staff from Excel  |  [staff] Staff Management
POST   /v1/staff/staff/options/batch  |  Get staff options by IDs  |  [staff] Staff Management
POST   /v1/staff/staff/page  |  Page query staff  |  [staff] Staff Management
GET    /v1/staff/staff/template  |  Generate staff import template  |  [staff] Staff Management
GET    /v1/staff/staff/{id}  |  Get staff by ID  |  [staff] Staff Management
PUT    /v1/staff/staff/{id}  |  Update staff  |  [staff] Staff Management
PUT    /v1/staff/staff/{id}/password/reset  |  Reset staff password  |  [staff] Staff Management
POST   /v1/staff/period-work-status  |  Create staff period work status  |  [staff] Staff Period Work Status
PUT    /v1/staff/period-work-status  |  Update staff period work status  |  [staff] Staff Period Work Status
POST   /v1/staff/period-work-status/page  |  Page query staff period work status  |  [staff] Staff Period Work Status
DELETE /v1/staff/period-work-status/{id}  |  Delete staff period work status  |  [staff] Staff Period Work Status
GET    /v1/staff/period-work-status/{id}  |  Get staff period work status by ID  |  [staff] Staff Period Work Status
POST   /v1/staff/report/extend/data-entry  |  Get data entry report with configurable field aggregations  |  [staff] Staff Ticket Report
POST   /v1/staff/report/extend/data-entry/export  |  Export data entry report to Excel  |  [staff] Staff Ticket Report
POST   /v1/staff/report/staff/work-status  |  Get staff work status data  |  [staff] Staff Ticket Report
POST   /v1/staff/report/staff/work-status/export  |  Export staff work status data to Excel  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/activity  |  Get ticket activity statistics  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/activity/export  |  Export ticket activity statistics to Excel  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/sla  |  Get ticket SLA and AHT statistics  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/sla/export  |  Export ticket SLA and AHT statistics to Excel  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/sla/new  |  Get new ticket SLA and AHT statistics  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/sla/new/export  |  Export new ticket SLA and AHT statistics to Excel  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/status  |  Get ticket status statistics  |  [staff] Staff Ticket Report
POST   /v1/staff/report/ticket/status/export  |  Export ticket status statistics to Excel  |  [staff] Staff Ticket Report
GET    /v1/staff/websocket/stats  |  Get WebSocket statistics  |  [staff] Staff WebSocket
GET    /v1/staff/attachments  |  -  |  [staff] Storage API
POST   /v1/staff/attachments  |  -  |  [staff] Storage API
POST   /v1/staff/attachments/clone  |  -  |  [staff] Storage API
POST   /v1/staff/attachments/images  |  Upload image attachment  |  [staff] Storage API
DELETE /v1/staff/attachments/{id}  |  -  |  [staff] Storage API
GET    /v1/staff/survey/config/rules  |  List Survey Rules  |  [staff] Survey Config
POST   /v1/staff/survey/config/rules  |  Create Survey Rule  |  [staff] Survey Config
DELETE /v1/staff/survey/config/rules/{ruleId}  |  Delete Survey Rule  |  [staff] Survey Config
PUT    /v1/staff/survey/config/rules/{ruleId}  |  Update Survey Rule  |  [staff] Survey Config
POST   /v1/staff/report/survey/dashboard  |  Get survey dashboard data  |  [staff] Survey Dashboard
POST   /v1/staff/survey/ratings/page  |  Page query survey ratings overview  |  [staff] Survey Ratings
GET    /v1/staff/survey/send-logs/debug/{ticketId}/token  |  [DEBUG] Get survey token by ticket ID - LOCAL ENV ONLY  |  [staff] Survey Send Logs
POST   /v1/staff/survey/send-logs/page  |  Page query survey send logs  |  [staff] Survey Send Logs
POST   /v1/staff/tags  |  Create a new tag  |  [staff] Tag Management
POST   /v1/staff/tags/options/batch  |  -  |  [staff] Tag Management
POST   /v1/staff/tags/page  |  Page query tags  |  [staff] Tag Management
DELETE /v1/staff/tags/{id}  |  Delete tag by ID  |  [staff] Tag Management
GET    /v1/staff/tags/{id}  |  Get tag by ID  |  [staff] Tag Management
PUT    /v1/staff/tags/{id}  |  Update an existing tag  |  [staff] Tag Management
POST   /v1/staff/teams  |  Create team  |  [staff] Team Management
POST   /v1/staff/teams/import  |  Import teams from Excel  |  [staff] Team Management
POST   /v1/staff/teams/options/batch  |  Get team options by IDs  |  [staff] Team Management
POST   /v1/staff/teams/page  |  Page query teams  |  [staff] Team Management
GET    /v1/staff/teams/template  |  Generate team import template  |  [staff] Team Management
GET    /v1/staff/teams/{id}  |  Get team by ID  |  [staff] Team Management
PUT    /v1/staff/teams/{id}  |  Update team  |  [staff] Team Management
DELETE /v1/staff/teams/{teamId}/members  |  Remove team members  |  [staff] Team Management
POST   /v1/staff/teams/{teamId}/members  |  Add team members  |  [staff] Team Management
POST   /v1/staff/ticket-collaborators/batch-update  |  Batch update ticket collaborators  |  [staff] Ticket Collaborators
POST   /v1/staff/ticket-collaborators/query  |  Query ticket collaborators  |  [staff] Ticket Collaborators
POST   /v1/staff/ticket-create-templates  |  Create ticket create template  |  [staff] Ticket Create Template Management
POST   /v1/staff/ticket-create-templates/list  |  List ticket create templates  |  [staff] Ticket Create Template Management
POST   /v1/staff/ticket-create-templates/options/batch  |  -  |  [staff] Ticket Create Template Management
POST   /v1/staff/ticket-create-templates/page  |  Page query ticket create templates  |  [staff] Ticket Create Template Management
GET    /v1/staff/ticket-create-templates/{id}  |  Get ticket create template by ID  |  [staff] Ticket Create Template Management
PUT    /v1/staff/ticket-create-templates/{id}  |  Update ticket create template  |  [staff] Ticket Create Template Management
GET    /v1/staff/ticket/display-status  |  Get display statuses  |  [staff] Ticket Display Status
POST   /v1/staff/ticket/display-status  |  Create display status  |  [staff] Ticket Display Status
POST   /v1/staff/ticket/display-status/options/batch  |  Get display status options by IDs  |  [staff] Ticket Display Status
POST   /v1/staff/ticket/display-status/page  |  Page query display statuses  |  [staff] Ticket Display Status
GET    /v1/staff/ticket/display-status/{id}  |  Get display status by ID  |  [staff] Ticket Display Status
PUT    /v1/staff/ticket/display-status/{id}  |  Update display status  |  [staff] Ticket Display Status
POST   /v1/staff/ticket/filter-group  |  Create a new filter group  |  [staff] Ticket Filter Group Management
PUT    /v1/staff/ticket/filter-group  |  Update an existing filter group  |  [staff] Ticket Filter Group Management
POST   /v1/staff/ticket/filter-group/page  |  Page query filter groups  |  [staff] Ticket Filter Group Management
DELETE /v1/staff/ticket/filter-group/{id}  |  Delete filter group by ID  |  [staff] Ticket Filter Group Management
GET    /v1/staff/ticket/filter-group/{id}  |  Get filter group by ID  |  [staff] Ticket Filter Group Management
GET    /v1/staff/ticket/filter-job/running-info  |  Get Running Job Info  |  [staff] Ticket Filter Job
POST   /v1/staff/ticket/filter-job/start  |  Start Ticket Filter Job  |  [staff] Ticket Filter Job
POST   /v1/staff/ticket/filter  |  Create a new filter  |  [staff] Ticket Filter Management
PUT    /v1/staff/ticket/filter  |  Update an existing filter  |  [staff] Ticket Filter Management
GET    /v1/staff/ticket/filter/fields  |  List all fields that can be used in filters  |  [staff] Ticket Filter Management
GET    /v1/staff/ticket/filter/group/{groupId}  |  List filters by group ID  |  [staff] Ticket Filter Management
DELETE /v1/staff/ticket/filter/{id}  |  Delete filter by ID  |  [staff] Ticket Filter Management
GET    /v1/staff/ticket/filter/{id}  |  Get filter by ID  |  [staff] Ticket Filter Management
GET    /v1/staff/ticket/macros  |  Query macros  |  [staff] Ticket Macro Management
POST   /v1/staff/ticket/macros  |  Create macro  |  [staff] Ticket Macro Management
POST   /v1/staff/ticket/macros/options/batch  |  Get macro options  |  [staff] Ticket Macro Management
POST   /v1/staff/ticket/macros/page  |  Query macros  |  [staff] Ticket Macro Management
GET    /v1/staff/ticket/macros/{id}  |  Get macro by ID  |  [staff] Ticket Macro Management
PUT    /v1/staff/ticket/macros/{id}  |  Update macro  |  [staff] Ticket Macro Management
POST   /v1/staff/tickets  |  Create ticket  |  [staff] Ticket Management
GET    /v1/staff/tickets/brief/{id}  |  Get ticket brief info  |  [staff] Ticket Management
PUT    /v1/staff/tickets/bulk/department  |  Update ticket department assignments in bulk  |  [staff] Ticket Management
PUT    /v1/staff/tickets/bulk/staff  |  Update ticket staff assignments in bulk  |  [staff] Ticket Management
PUT    /v1/staff/tickets/bulk/status  |  Update ticket status  |  [staff] Ticket Management
PUT    /v1/staff/tickets/bulk/team  |  Update ticket team assignments in bulk  |  [staff] Ticket Management
POST   /v1/staff/tickets/chat-summary  |  Generate chat summary for email  |  [staff] Ticket Management
POST   /v1/staff/tickets/display-status-logs  |  Query display status logs  |  [staff] Ticket Management
POST   /v1/staff/tickets/export  |  Export tickets  |  [staff] Ticket Management
POST   /v1/staff/tickets/exportAuditLog  |  Export audit log  |  [staff] Ticket Management
POST   /v1/staff/tickets/message-processes/page  |  Query ticket message processes  |  [staff] Ticket Management
GET    /v1/staff/tickets/message/{ticketMessageId}/email-headers  |  Get email header information for a ticket message  |  [staff] Ticket Management
GET    /v1/staff/tickets/message/{ticketMessageId}/email-userInfo  |  Get email user info information for a ticket message  |  [staff] Ticket Management
GET    /v1/staff/tickets/number/{code}  |  Get ticket by number  |  [staff] Ticket Management
POST   /v1/staff/tickets/number/{ticketNumber}/timeline  |  Get ticket timeline by number  |  [staff] Ticket Management
POST   /v1/staff/tickets/options/batch  |  Get ticket options by IDs  |  [staff] Ticket Management
POST   /v1/staff/tickets/page  |  Page query tickets  |  [staff] Ticket Management
POST   /v1/staff/tickets/reminder  |  Create ticket reminder  |  [staff] Ticket Management
GET    /v1/staff/tickets/{id}  |  Get ticket by ID  |  [staff] Ticket Management
PUT    /v1/staff/tickets/{id}  |  Update ticket  |  [staff] Ticket Management
POST   /v1/staff/tickets/{id}/reply  |  Reply to ticket  |  [staff] Ticket Management
POST   /v1/staff/tickets/{originalTicketId}/parallel  |  Create parallel ticket  |  [staff] Ticket Management
DELETE /v1/staff/tickets/{sourceId}/relate/{targetId}  |  Unrelate tickets  |  [staff] Ticket Management
POST   /v1/staff/tickets/{sourceId}/relate/{targetId}  |  Relate tickets  |  [staff] Ticket Management
POST   /v1/staff/tickets/{targetId}/merge  |  Merge tickets  |  [staff] Ticket Management
PUT    /v1/staff/tickets/{ticketId}/department  |  Update ticket department assignments  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/execute-macro/{macroId}  |  Execute macro  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/follow  |  Toggle ticket follow  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/force-open  |  -  |  [staff] Ticket Management
PUT    /v1/staff/tickets/{ticketId}/form-entries  |  Update ticket form entries  |  [staff] Ticket Management
GET    /v1/staff/tickets/{ticketId}/form-entries/{topicId}  |  Get ticket form entries  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/handover  |  Hand over ticket  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/messages/{messageId}/answer-status  |  Update answer status  |  [staff] Ticket Management
PUT    /v1/staff/tickets/{ticketId}/messages/{messageId}/internal-note  |  Update internal note message  |  [staff] Ticket Management
PUT    /v1/staff/tickets/{ticketId}/messages/{messageId}/scheduled-time  |  Update scheduled send time  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/print  |  Generate ticket print HTML  |  [staff] Ticket Management
GET    /v1/staff/tickets/{ticketId}/summary  |  Get ticket AI summary  |  [staff] Ticket Management
POST   /v1/staff/tickets/{ticketId}/timeline  |  Get ticket timeline  |  [staff] Ticket Management
POST   /v1/staff/ticket/priorities  |  Create a new ticket priority  |  [staff] Ticket Priority
GET    /v1/staff/ticket/priorities/list  |  Get all enabled ticket priorities  |  [staff] Ticket Priority
POST   /v1/staff/ticket/priorities/options/batch  |  Get priority options by IDs  |  [staff] Ticket Priority
POST   /v1/staff/ticket/priorities/page  |  Query ticket priorities with pagination  |  [staff] Ticket Priority
GET    /v1/staff/ticket/priorities/{id}  |  Get ticket priority details  |  [staff] Ticket Priority
PUT    /v1/staff/ticket/priorities/{id}  |  Update an existing ticket priority  |  [staff] Ticket Priority
POST   /v1/staff/tickets/search  |  Search tickets  |  [staff] Ticket Search
POST   /v1/staff/ticket-views  |  Create ticket view  |  [staff] Ticket View Management
POST   /v1/staff/ticket-views/favorites  |  List favorite ticket views  |  [staff] Ticket View Management
GET    /v1/staff/ticket-views/fields  |  List all fields that can be used in ticket views  |  [staff] Ticket View Management
POST   /v1/staff/ticket-views/ids  |  Get ticket view by ID list  |  [staff] Ticket View Management
POST   /v1/staff/ticket-views/list  |  List accessible views  |  [staff] Ticket View Management
DELETE /v1/staff/ticket-views/{id}  |  Delete ticket view  |  [staff] Ticket View Management
GET    /v1/staff/ticket-views/{id}  |  Get ticket view by ID  |  [staff] Ticket View Management
PUT    /v1/staff/ticket-views/{id}  |  Update ticket view  |  [staff] Ticket View Management
DELETE /v1/staff/ticket-views/{id}/favorite  |  Unfavorite a ticket view  |  [staff] Ticket View Management
POST   /v1/staff/ticket-views/{id}/favorite  |  Favorite a ticket view  |  [staff] Ticket View Management
POST   /v1/staff/topics  |  Create topic  |  [staff] Topic Management
POST   /v1/staff/topics/options/batch  |  Get topic options by IDs  |  [staff] Topic Management
POST   /v1/staff/topics/page  |  Page query topics  |  [staff] Topic Management
GET    /v1/staff/topics/{id}  |  Get topic by ID  |  [staff] Topic Management
PUT    /v1/staff/topics/{id}  |  Update topic  |  [staff] Topic Management
POST   /v1/staff/uf-dashboard/count  |  Get UF Dashboard count statistics  |  [staff] UF Dashboard
GET    /v1/staff/uf-dashboard/facility-states  |  Get all distinct facility states  |  [staff] UF Dashboard
POST   /v1/staff/uf-dashboard/statistics  |  Get UF statistics grouped by facility and organization  |  [staff] UF Dashboard
POST   /v1/staff/uf-dashboard/statistics/by-facility  |  Get UF ticket statistics grouped by facility  |  [staff] UF Dashboard
POST   /v1/staff/uf-dashboard/statistics/by-state  |  Get UF ticket statistics grouped by facility state  |  [staff] UF Dashboard
